emoji,name,slug,group,emoji_version,unicode_version,skin_tone_support,fuzzy_search
👨‍🦯‍➡️,man with white cane facing right,man_with_white_cane_facing_right,People & Body,15.1,15.1,True,man with white cane facing right man_with_white_cane_facing_right People & Body
👩‍🦯,woman with white cane,woman_with_white_cane,People & Body,12.0,12.0,True,woman with white cane woman_with_white_cane People & Body
👩‍🦯‍➡️,woman with white cane facing right,woman_with_white_cane_facing_right,People & Body,15.1,15.1,True,woman with white cane facing right woman_with_white_cane_facing_right People & Body
🧑‍🦼,person in motorized wheelchair,person_in_motorized_wheelchair,People & Body,12.1,12.1,True,person in motorized wheelchair person_in_motorized_wheelchair People & Body
🧑‍🦼‍➡️,person in motorized wheelchair facing right,person_in_motorized_wheelchair_facing_right,People & Body,15.1,15.1,True,person in motorized wheelchair facing right person_in_motorized_wheelchair_facing_right People & Body
👨‍🦼,man in motorized wheelchair,man_in_motorized_wheelchair,People & Body,12.0,12.0,True,man in motorized wheelchair man_in_motorized_wheelchair People & Body
👨‍🦼‍➡️,man in motorized wheelchair facing right,man_in_motorized_wheelchair_facing_right,People & Body,15.1,15.1,True,man in motorized wheelchair facing right man_in_motorized_wheelchair_facing_right People & Body
👩‍🦼,woman in motorized wheelchair,woman_in_motorized_wheelchair,People & Body,12.0,12.0,True,woman in motorized wheelchair woman_in_motorized_wheelchair People & Body
👩‍🦼‍➡️,woman in motorized wheelchair facing right,woman_in_motorized_wheelchair_facing_right,People & Body,15.1,15.1,True,woman in motorized wheelchair facing right woman_in_motorized_wheelchair_facing_right People & Body
🧑‍🦽,person in manual wheelchair,person_in_manual_wheelchair,People & Body,12.1,12.1,True,person in manual wheelchair person_in_manual_wheelchair People & Body
🧑‍🦽‍➡️,person in manual wheelchair facing right,person_in_manual_wheelchair_facing_right,People & Body,15.1,15.1,True,person in manual wheelchair facing right person_in_manual_wheelchair_facing_right People & Body
👨‍🦽,man in manual wheelchair,man_in_manual_wheelchair,People & Body,12.0,12.0,True,man in manual wheelchair man_in_manual_wheelchair People & Body
👨‍🦽‍➡️,man in manual wheelchair facing right,man_in_manual_wheelchair_facing_right,People & Body,15.1,15.1,True,man in manual wheelchair facing right man_in_manual_wheelchair_facing_right People & Body
👩‍🦽,woman in manual wheelchair,woman_in_manual_wheelchair,People & Body,12.0,12.0,True,woman in manual wheelchair woman_in_manual_wheelchair People & Body
👩‍🦽‍➡️,woman in manual wheelchair facing right,woman_in_manual_wheelchair_facing_right,People & Body,15.1,15.1,True,woman in manual wheelchair facing right woman_in_manual_wheelchair_facing_right People & Body
🏃,person running,person_running,People & Body,0.6,0.6,True,person running person_running People & Body
🏃‍♂️,man running,man_running,People & Body,4.0,4.0,True,man running man_running People & Body
🏃‍♀️,woman running,woman_running,People & Body,4.0,4.0,True,woman running woman_running People & Body
🏃‍➡️,person running facing right,person_running_facing_right,People & Body,15.1,15.1,True,person running facing right person_running_facing_right People & Body
🏃‍♀️‍➡️,woman running facing right,woman_running_facing_right,People & Body,15.1,15.1,True,woman running facing right woman_running_facing_right People & Body
🏃‍♂️‍➡️,man running facing right,man_running_facing_right,People & Body,15.1,15.1,True,man running facing right man_running_facing_right People & Body
💃,woman dancing,woman_dancing,People & Body,0.6,0.6,True,woman dancing woman_dancing People & Body
🕺,man dancing,man_dancing,People & Body,3.0,3.0,True,man dancing man_dancing People & Body
🕴️,person in suit levitating,person_in_suit_levitating,People & Body,0.7,0.7,True,person in suit levitating person_in_suit_levitating People & Body
👯,people with bunny ears,people_with_bunny_ears,People & Body,0.6,0.6,False,people with bunny ears people_with_bunny_ears People & Body
👯‍♂️,men with bunny ears,men_with_bunny_ears,People & Body,4.0,4.0,False,men with bunny ears men_with_bunny_ears People & Body
👯‍♀️,women with bunny ears,women_with_bunny_ears,People & Body,4.0,4.0,False,women with bunny ears women_with_bunny_ears People & Body
🧖,person in steamy room,person_in_steamy_room,People & Body,5.0,5.0,True,person in steamy room person_in_steamy_room People & Body
🧖‍♂️,man in steamy room,man_in_steamy_room,People & Body,5.0,5.0,True,man in steamy room man_in_steamy_room People & Body
🧖‍♀️,woman in steamy room,woman_in_steamy_room,People & Body,5.0,5.0,True,woman in steamy room woman_in_steamy_room People & Body
🧗,person climbing,person_climbing,People & Body,5.0,5.0,True,person climbing person_climbing People & Body
🧗‍♂️,man climbing,man_climbing,People & Body,5.0,5.0,True,man climbing man_climbing People & Body
🧗‍♀️,woman climbing,woman_climbing,People & Body,5.0,5.0,True,woman climbing woman_climbing People & Body
🤺,person fencing,person_fencing,People & Body,3.0,3.0,False,person fencing person_fencing People & Body
🏇,horse racing,horse_racing,People & Body,1.0,1.0,True,horse racing horse_racing People & Body
⛷️,skier,skier,People & Body,0.7,0.7,False,skier skier People & Body
🏂,snowboarder,snowboarder,People & Body,0.6,0.6,True,snowboarder snowboarder People & Body
🏌️,person golfing,person_golfing,People & Body,0.7,0.7,True,person golfing person_golfing People & Body
🏌️‍♂️,man golfing,man_golfing,People & Body,4.0,4.0,True,man golfing man_golfing People & Body
🏌️‍♀️,woman golfing,woman_golfing,People & Body,4.0,4.0,True,woman golfing woman_golfing People & Body
🏄,person surfing,person_surfing,People & Body,0.6,0.6,True,person surfing person_surfing People & Body
🏄‍♂️,man surfing,man_surfing,People & Body,4.0,4.0,True,man surfing man_surfing People & Body
🏄‍♀️,woman surfing,woman_surfing,People & Body,4.0,4.0,True,woman surfing woman_surfing People & Body
🚣,person rowing boat,person_rowing_boat,People & Body,1.0,1.0,True,person rowing boat person_rowing_boat People & Body
🚣‍♂️,man rowing boat,man_rowing_boat,People & Body,4.0,4.0,True,man rowing boat man_rowing_boat People & Body
🚣‍♀️,woman rowing boat,woman_rowing_boat,People & Body,4.0,4.0,True,woman rowing boat woman_rowing_boat People & Body
🏊,person swimming,person_swimming,People & Body,0.6,0.6,True,person swimming person_swimming People & Body
🏊‍♂️,man swimming,man_swimming,People & Body,4.0,4.0,True,man swimming man_swimming People & Body
🏊‍♀️,woman swimming,woman_swimming,People & Body,4.0,4.0,True,woman swimming woman_swimming People & Body
⛹️,person bouncing ball,person_bouncing_ball,People & Body,0.7,0.7,True,person bouncing ball person_bouncing_ball People & Body
⛹️‍♂️,man bouncing ball,man_bouncing_ball,People & Body,4.0,4.0,True,man bouncing ball man_bouncing_ball People & Body
⛹️‍♀️,woman bouncing ball,woman_bouncing_ball,People & Body,4.0,4.0,True,woman bouncing ball woman_bouncing_ball People & Body
🏋️,person lifting weights,person_lifting_weights,People & Body,0.7,0.7,True,person lifting weights person_lifting_weights People & Body
🏋️‍♂️,man lifting weights,man_lifting_weights,People & Body,4.0,4.0,True,man lifting weights man_lifting_weights People & Body
🏋️‍♀️,woman lifting weights,woman_lifting_weights,People & Body,4.0,4.0,True,woman lifting weights woman_lifting_weights People & Body
🚴,person biking,person_biking,People & Body,1.0,1.0,True,person biking person_biking People & Body
🚴‍♂️,man biking,man_biking,People & Body,4.0,4.0,True,man biking man_biking People & Body
🚴‍♀️,woman biking,woman_biking,People & Body,4.0,4.0,True,woman biking woman_biking People & Body
🚵,person mountain biking,person_mountain_biking,People & Body,1.0,1.0,True,person mountain biking person_mountain_biking People & Body
🚵‍♂️,man mountain biking,man_mountain_biking,People & Body,4.0,4.0,True,man mountain biking man_mountain_biking People & Body
🚵‍♀️,woman mountain biking,woman_mountain_biking,People & Body,4.0,4.0,True,woman mountain biking woman_mountain_biking People & Body
🤸,person cartwheeling,person_cartwheeling,People & Body,3.0,3.0,True,person cartwheeling person_cartwheeling People & Body
🤸‍♂️,man cartwheeling,man_cartwheeling,People & Body,4.0,4.0,True,man cartwheeling man_cartwheeling People & Body
🤸‍♀️,woman cartwheeling,woman_cartwheeling,People & Body,4.0,4.0,True,woman cartwheeling woman_cartwheeling People & Body
🤼,people wrestling,people_wrestling,People & Body,3.0,3.0,False,people wrestling people_wrestling People & Body
🤼‍♂️,men wrestling,men_wrestling,People & Body,4.0,4.0,False,men wrestling men_wrestling People & Body
🤼‍♀️,women wrestling,women_wrestling,People & Body,4.0,4.0,False,women wrestling women_wrestling People & Body
🤽,person playing water polo,person_playing_water_polo,People & Body,3.0,3.0,True,person playing water polo person_playing_water_polo People & Body
🤽‍♂️,man playing water polo,man_playing_water_polo,People & Body,4.0,4.0,True,man playing water polo man_playing_water_polo People & Body
🤽‍♀️,woman playing water polo,woman_playing_water_polo,People & Body,4.0,4.0,True,woman playing water polo woman_playing_water_polo People & Body
🤾,person playing handball,person_playing_handball,People & Body,3.0,3.0,True,person playing handball person_playing_handball People & Body
🤾‍♂️,man playing handball,man_playing_handball,People & Body,4.0,4.0,True,man playing handball man_playing_handball People & Body
🤾‍♀️,woman playing handball,woman_playing_handball,People & Body,4.0,4.0,True,woman playing handball woman_playing_handball People & Body
🤹,person juggling,person_juggling,People & Body,3.0,3.0,True,person juggling person_juggling People & Body
🤹‍♂️,man juggling,man_juggling,People & Body,4.0,4.0,True,man juggling man_juggling People & Body
🤹‍♀️,woman juggling,woman_juggling,People & Body,4.0,4.0,True,woman juggling woman_juggling People & Body
🧘,person in lotus position,person_in_lotus_position,People & Body,5.0,5.0,True,person in lotus position person_in_lotus_position People & Body
🧘‍♂️,man in lotus position,man_in_lotus_position,People & Body,5.0,5.0,True,man in lotus position man_in_lotus_position People & Body
🧘‍♀️,woman in lotus position,woman_in_lotus_position,People & Body,5.0,5.0,True,woman in lotus position woman_in_lotus_position People & Body
🛀,person taking bath,person_taking_bath,People & Body,0.6,0.6,True,person taking bath person_taking_bath People & Body
🛌,person in bed,person_in_bed,People & Body,1.0,1.0,True,person in bed person_in_bed People & Body
🧑‍🤝‍🧑,people holding hands,people_holding_hands,People & Body,12.0,12.0,True,people holding hands people_holding_hands People & Body
👭,women holding hands,women_holding_hands,People & Body,1.0,1.0,True,women holding hands women_holding_hands People & Body
👫,woman and man holding hands,woman_and_man_holding_hands,People & Body,0.6,0.6,True,woman and man holding hands woman_and_man_holding_hands People & Body
👬,men holding hands,men_holding_hands,People & Body,1.0,1.0,True,men holding hands men_holding_hands People & Body
💏,kiss,kiss,People & Body,0.6,0.6,True,kiss kiss People & Body
👩‍❤️‍💋‍👨,"kiss woman, man",kiss_woman_man,People & Body,2.0,2.0,True,"kiss woman, man kiss_woman_man People & Body"
👨‍❤️‍💋‍👨,"kiss man, man",kiss_man_man,People & Body,2.0,2.0,True,"kiss man, man kiss_man_man People & Body"
👩‍❤️‍💋‍👩,"kiss woman, woman",kiss_woman_woman,People & Body,2.0,2.0,True,"kiss woman, woman kiss_woman_woman People & Body"
💑,couple with heart,couple_with_heart,People & Body,0.6,0.6,True,couple with heart couple_with_heart People & Body
👩‍❤️‍👨,"couple with heart woman, man",couple_with_heart_woman_man,People & Body,2.0,2.0,True,"couple with heart woman, man couple_with_heart_woman_man People & Body"
👨‍❤️‍👨,"couple with heart man, man",couple_with_heart_man_man,People & Body,2.0,2.0,True,"couple with heart man, man couple_with_heart_man_man People & Body"
👩‍❤️‍👩,"couple with heart woman, woman",couple_with_heart_woman_woman,People & Body,2.0,2.0,True,"couple with heart woman, woman couple_with_heart_woman_woman People & Body"
👨‍👩‍👦,"family man, woman, boy",family_man_woman_boy,People & Body,2.0,2.0,False,"family man, woman, boy family_man_woman_boy People & Body"
👨‍👩‍👧,"family man, woman, girl",family_man_woman_girl,People & Body,2.0,2.0,False,"family man, woman, girl family_man_woman_girl People & Body"
👨‍👩‍👧‍👦,"family man, woman, girl, boy",family_man_woman_girl_boy,People & Body,2.0,2.0,False,"family man, woman, girl, boy family_man_woman_girl_boy People & Body"
👨‍👩‍👦‍👦,"family man, woman, boy, boy",family_man_woman_boy_boy,People & Body,2.0,2.0,False,"family man, woman, boy, boy family_man_woman_boy_boy People & Body"
👨‍👩‍👧‍👧,"family man, woman, girl, girl",family_man_woman_girl_girl,People & Body,2.0,2.0,False,"family man, woman, girl, girl family_man_woman_girl_girl People & Body"
👨‍👨‍👦,"family man, man, boy",family_man_man_boy,People & Body,2.0,2.0,False,"family man, man, boy family_man_man_boy People & Body"
👨‍👨‍👧,"family man, man, girl",family_man_man_girl,People & Body,2.0,2.0,False,"family man, man, girl family_man_man_girl People & Body"
👨‍👨‍👧‍👦,"family man, man, girl, boy",family_man_man_girl_boy,People & Body,2.0,2.0,False,"family man, man, girl, boy family_man_man_girl_boy People & Body"
👨‍👨‍👦‍👦,"family man, man, boy, boy",family_man_man_boy_boy,People & Body,2.0,2.0,False,"family man, man, boy, boy family_man_man_boy_boy People & Body"
👨‍👨‍👧‍👧,"family man, man, girl, girl",family_man_man_girl_girl,People & Body,2.0,2.0,False,"family man, man, girl, girl family_man_man_girl_girl People & Body"
👩‍👩‍👦,"family woman, woman, boy",family_woman_woman_boy,People & Body,2.0,2.0,False,"family woman, woman, boy family_woman_woman_boy People & Body"
👩‍👩‍👧,"family woman, woman, girl",family_woman_woman_girl,People & Body,2.0,2.0,False,"family woman, woman, girl family_woman_woman_girl People & Body"
👩‍👩‍👧‍👦,"family woman, woman, girl, boy",family_woman_woman_girl_boy,People & Body,2.0,2.0,False,"family woman, woman, girl, boy family_woman_woman_girl_boy People & Body"
👩‍👩‍👦‍👦,"family woman, woman, boy, boy",family_woman_woman_boy_boy,People & Body,2.0,2.0,False,"family woman, woman, boy, boy family_woman_woman_boy_boy People & Body"
👩‍👩‍👧‍👧,"family woman, woman, girl, girl",family_woman_woman_girl_girl,People & Body,2.0,2.0,False,"family woman, woman, girl, girl family_woman_woman_girl_girl People & Body"
👨‍👦,"family man, boy",family_man_boy,People & Body,4.0,4.0,False,"family man, boy family_man_boy People & Body"
👨‍👦‍👦,"family man, boy, boy",family_man_boy_boy,People & Body,4.0,4.0,False,"family man, boy, boy family_man_boy_boy People & Body"
👨‍👧,"family man, girl",family_man_girl,People & Body,4.0,4.0,False,"family man, girl family_man_girl People & Body"
👨‍👧‍👦,"family man, girl, boy",family_man_girl_boy,People & Body,4.0,4.0,False,"family man, girl, boy family_man_girl_boy People & Body"
👨‍👧‍👧,"family man, girl, girl",family_man_girl_girl,People & Body,4.0,4.0,False,"family man, girl, girl family_man_girl_girl People & Body"
👩‍👦,"family woman, boy",family_woman_boy,People & Body,4.0,4.0,False,"family woman, boy family_woman_boy People & Body"
👩‍👦‍👦,"family woman, boy, boy",family_woman_boy_boy,People & Body,4.0,4.0,False,"family woman, boy, boy family_woman_boy_boy People & Body"
👩‍👧,"family woman, girl",family_woman_girl,People & Body,4.0,4.0,False,"family woman, girl family_woman_girl People & Body"
👩‍👧‍👦,"family woman, girl, boy",family_woman_girl_boy,People & Body,4.0,4.0,False,"family woman, girl, boy family_woman_girl_boy People & Body"
👩‍👧‍👧,"family woman, girl, girl",family_woman_girl_girl,People & Body,4.0,4.0,False,"family woman, girl, girl family_woman_girl_girl People & Body"
🗣️,speaking head,speaking_head,People & Body,0.7,0.7,False,speaking head speaking_head People & Body
👤,bust in silhouette,bust_in_silhouette,People & Body,0.6,0.6,False,bust in silhouette bust_in_silhouette People & Body
👥,busts in silhouette,busts_in_silhouette,People & Body,1.0,1.0,False,busts in silhouette busts_in_silhouette People & Body
🫂,people hugging,people_hugging,People & Body,13.0,13.0,False,people hugging people_hugging People & Body
👪,family,family,People & Body,0.6,0.6,False,family family People & Body
🧑‍🧑‍🧒,"family adult, adult, child",family_adult_adult_child,People & Body,15.1,15.1,False,"family adult, adult, child family_adult_adult_child People & Body"
🧑‍🧑‍🧒‍🧒,"family adult, adult, child, child",family_adult_adult_child_child,People & Body,15.1,15.1,False,"family adult, adult, child, child family_adult_adult_child_child People & Body"
🧑‍🧒,"family adult, child",family_adult_child,People & Body,15.1,15.1,False,"family adult, child family_adult_child People & Body"
🧑‍🧒‍🧒,"family adult, child, child",family_adult_child_child,People & Body,15.1,15.1,False,"family adult, child, child family_adult_child_child People & Body"
👣,footprints,footprints,People & Body,0.6,0.6,False,footprints footprints People & Body
🫆,fingerprint,fingerprint,People & Body,16.0,16.0,False,fingerprint fingerprint People & Body
🐵,monkey face,monkey_face,Animals & Nature,0.6,0.6,False,monkey face monkey_face Animals & Nature
🐒,monkey,monkey,Animals & Nature,0.6,0.6,False,monkey monkey Animals & Nature
🦍,gorilla,gorilla,Animals & Nature,3.0,3.0,False,gorilla gorilla Animals & Nature
🦧,orangutan,orangutan,Animals & Nature,12.0,12.0,False,orangutan orangutan Animals & Nature
🐶,dog face,dog_face,Animals & Nature,0.6,0.6,False,dog face dog_face Animals & Nature
🐕,dog,dog,Animals & Nature,0.7,0.7,False,dog dog Animals & Nature
🦮,guide dog,guide_dog,Animals & Nature,12.0,12.0,False,guide dog guide_dog Animals & Nature
🐕‍🦺,service dog,service_dog,Animals & Nature,12.0,12.0,False,service dog service_dog Animals & Nature
🐩,poodle,poodle,Animals & Nature,0.6,0.6,False,poodle poodle Animals & Nature
🐺,wolf,wolf,Animals & Nature,0.6,0.6,False,wolf wolf Animals & Nature
🦊,fox,fox,Animals & Nature,3.0,3.0,False,fox fox Animals & Nature
🦝,raccoon,raccoon,Animals & Nature,11.0,11.0,False,raccoon raccoon Animals & Nature
🐱,cat face,cat_face,Animals & Nature,0.6,0.6,False,cat face cat_face Animals & Nature
🐈,cat,cat,Animals & Nature,0.7,0.7,False,cat cat Animals & Nature
🐈‍⬛,black cat,black_cat,Animals & Nature,13.0,13.0,False,black cat black_cat Animals & Nature
🦁,lion,lion,Animals & Nature,1.0,1.0,False,lion lion Animals & Nature
🐯,tiger face,tiger_face,Animals & Nature,0.6,0.6,False,tiger face tiger_face Animals & Nature
🐅,tiger,tiger,Animals & Nature,1.0,1.0,False,tiger tiger Animals & Nature
🐆,leopard,leopard,Animals & Nature,1.0,1.0,False,leopard leopard Animals & Nature
🐴,horse face,horse_face,Animals & Nature,0.6,0.6,False,horse face horse_face Animals & Nature
🫎,moose,moose,Animals & Nature,15.0,15.0,False,moose moose Animals & Nature
🫏,donkey,donkey,Animals & Nature,15.0,15.0,False,donkey donkey Animals & Nature
🐎,horse,horse,Animals & Nature,0.6,0.6,False,horse horse Animals & Nature
🦄,unicorn,unicorn,Animals & Nature,1.0,1.0,False,unicorn unicorn Animals & Nature
🦓,zebra,zebra,Animals & Nature,5.0,5.0,False,zebra zebra Animals & Nature
🦌,deer,deer,Animals & Nature,3.0,3.0,False,deer deer Animals & Nature
🦬,bison,bison,Animals & Nature,13.0,13.0,False,bison bison Animals & Nature
🐮,cow face,cow_face,Animals & Nature,0.6,0.6,False,cow face cow_face Animals & Nature
🐂,ox,ox,Animals & Nature,1.0,1.0,False,ox ox Animals & Nature
🐃,water buffalo,water_buffalo,Animals & Nature,1.0,1.0,False,water buffalo water_buffalo Animals & Nature
🐄,cow,cow,Animals & Nature,1.0,1.0,False,cow cow Animals & Nature
🐷,pig face,pig_face,Animals & Nature,0.6,0.6,False,pig face pig_face Animals & Nature
🐖,pig,pig,Animals & Nature,1.0,1.0,False,pig pig Animals & Nature
🐗,boar,boar,Animals & Nature,0.6,0.6,False,boar boar Animals & Nature
🐽,pig nose,pig_nose,Animals & Nature,0.6,0.6,False,pig nose pig_nose Animals & Nature
🐏,ram,ram,Animals & Nature,1.0,1.0,False,ram ram Animals & Nature
🐑,ewe,ewe,Animals & Nature,0.6,0.6,False,ewe ewe Animals & Nature
🐐,goat,goat,Animals & Nature,1.0,1.0,False,goat goat Animals & Nature
🐪,camel,camel,Animals & Nature,1.0,1.0,False,camel camel Animals & Nature
🐫,two-hump camel,two_hump_camel,Animals & Nature,0.6,0.6,False,two hump camel two_hump_camel Animals & Nature
🦙,llama,llama,Animals & Nature,11.0,11.0,False,llama llama Animals & Nature
🦒,giraffe,giraffe,Animals & Nature,5.0,5.0,False,giraffe giraffe Animals & Nature
🐘,elephant,elephant,Animals & Nature,0.6,0.6,False,elephant elephant Animals & Nature
🦣,mammoth,mammoth,Animals & Nature,13.0,13.0,False,mammoth mammoth Animals & Nature
🦏,rhinoceros,rhinoceros,Animals & Nature,3.0,3.0,False,rhinoceros rhinoceros Animals & Nature
🦛,hippopotamus,hippopotamus,Animals & Nature,11.0,11.0,False,hippopotamus hippopotamus Animals & Nature
🐭,mouse face,mouse_face,Animals & Nature,0.6,0.6,False,mouse face mouse_face Animals & Nature
🐁,mouse,mouse,Animals & Nature,1.0,1.0,False,mouse mouse Animals & Nature
🐀,rat,rat,Animals & Nature,1.0,1.0,False,rat rat Animals & Nature
🐹,hamster,hamster,Animals & Nature,0.6,0.6,False,hamster hamster Animals & Nature
🐰,rabbit face,rabbit_face,Animals & Nature,0.6,0.6,False,rabbit face rabbit_face Animals & Nature
🐇,rabbit,rabbit,Animals & Nature,1.0,1.0,False,rabbit rabbit Animals & Nature
🐿️,chipmunk,chipmunk,Animals & Nature,0.7,0.7,False,chipmunk chipmunk Animals & Nature
🦫,beaver,beaver,Animals & Nature,13.0,13.0,False,beaver beaver Animals & Nature
🦔,hedgehog,hedgehog,Animals & Nature,5.0,5.0,False,hedgehog hedgehog Animals & Nature
🦇,bat,bat,Animals & Nature,3.0,3.0,False,bat bat Animals & Nature
🐻,bear,bear,Animals & Nature,0.6,0.6,False,bear bear Animals & Nature
🐻‍❄️,polar bear,polar_bear,Animals & Nature,13.0,13.0,False,polar bear polar_bear Animals & Nature
🐨,koala,koala,Animals & Nature,0.6,0.6,False,koala koala Animals & Nature
🐼,panda,panda,Animals & Nature,0.6,0.6,False,panda panda Animals & Nature
🦥,sloth,sloth,Animals & Nature,12.0,12.0,False,sloth sloth Animals & Nature
🦦,otter,otter,Animals & Nature,12.0,12.0,False,otter otter Animals & Nature
🦨,skunk,skunk,Animals & Nature,12.0,12.0,False,skunk skunk Animals & Nature
🦘,kangaroo,kangaroo,Animals & Nature,11.0,11.0,False,kangaroo kangaroo Animals & Nature
🦡,badger,badger,Animals & Nature,11.0,11.0,False,badger badger Animals & Nature
🐾,paw prints,paw_prints,Animals & Nature,0.6,0.6,False,paw prints paw_prints Animals & Nature
🦃,turkey,turkey,Animals & Nature,1.0,1.0,False,turkey turkey Animals & Nature
🐔,chicken,chicken,Animals & Nature,0.6,0.6,False,chicken chicken Animals & Nature
🐓,rooster,rooster,Animals & Nature,1.0,1.0,False,rooster rooster Animals & Nature
🐣,hatching chick,hatching_chick,Animals & Nature,0.6,0.6,False,hatching chick hatching_chick Animals & Nature
🐤,baby chick,baby_chick,Animals & Nature,0.6,0.6,False,baby chick baby_chick Animals & Nature
🐥,front-facing baby chick,front_facing_baby_chick,Animals & Nature,0.6,0.6,False,front facing baby chick front_facing_baby_chick Animals & Nature
🐦,bird,bird,Animals & Nature,0.6,0.6,False,bird bird Animals & Nature
🐧,penguin,penguin,Animals & Nature,0.6,0.6,False,penguin penguin Animals & Nature
🕊️,dove,dove,Animals & Nature,0.7,0.7,False,dove dove Animals & Nature
🦅,eagle,eagle,Animals & Nature,3.0,3.0,False,eagle eagle Animals & Nature
🦆,duck,duck,Animals & Nature,3.0,3.0,False,duck duck Animals & Nature
🦢,swan,swan,Animals & Nature,11.0,11.0,False,swan swan Animals & Nature
🦉,owl,owl,Animals & Nature,3.0,3.0,False,owl owl Animals & Nature
🦤,dodo,dodo,Animals & Nature,13.0,13.0,False,dodo dodo Animals & Nature
🪶,feather,feather,Animals & Nature,13.0,13.0,False,feather feather Animals & Nature
🦩,flamingo,flamingo,Animals & Nature,12.0,12.0,False,flamingo flamingo Animals & Nature
🦚,peacock,peacock,Animals & Nature,11.0,11.0,False,peacock peacock Animals & Nature
🦜,parrot,parrot,Animals & Nature,11.0,11.0,False,parrot parrot Animals & Nature
🪽,wing,wing,Animals & Nature,15.0,15.0,False,wing wing Animals & Nature
🐦‍⬛,black bird,black_bird,Animals & Nature,15.0,15.0,False,black bird black_bird Animals & Nature
🪿,goose,goose,Animals & Nature,15.0,15.0,False,goose goose Animals & Nature
🐦‍🔥,phoenix,phoenix,Animals & Nature,15.1,15.1,False,phoenix phoenix Animals & Nature
🐸,frog,frog,Animals & Nature,0.6,0.6,False,frog frog Animals & Nature
🐊,crocodile,crocodile,Animals & Nature,1.0,1.0,False,crocodile crocodile Animals & Nature
🐢,turtle,turtle,Animals & Nature,0.6,0.6,False,turtle turtle Animals & Nature
🦎,lizard,lizard,Animals & Nature,3.0,3.0,False,lizard lizard Animals & Nature
🐍,snake,snake,Animals & Nature,0.6,0.6,False,snake snake Animals & Nature
🐲,dragon face,dragon_face,Animals & Nature,0.6,0.6,False,dragon face dragon_face Animals & Nature
🐉,dragon,dragon,Animals & Nature,1.0,1.0,False,dragon dragon Animals & Nature
🦕,sauropod,sauropod,Animals & Nature,5.0,5.0,False,sauropod sauropod Animals & Nature
🦖,T-Rex,t_rex,Animals & Nature,5.0,5.0,False,T Rex t_rex Animals & Nature
🐳,spouting whale,spouting_whale,Animals & Nature,0.6,0.6,False,spouting whale spouting_whale Animals & Nature
🐋,whale,whale,Animals & Nature,1.0,1.0,False,whale whale Animals & Nature
🐬,dolphin,dolphin,Animals & Nature,0.6,0.6,False,dolphin dolphin Animals & Nature
🦭,seal,seal,Animals & Nature,13.0,13.0,False,seal seal Animals & Nature
🐟,fish,fish,Animals & Nature,0.6,0.6,False,fish fish Animals & Nature
🐠,tropical fish,tropical_fish,Animals & Nature,0.6,0.6,False,tropical fish tropical_fish Animals & Nature
🐡,blowfish,blowfish,Animals & Nature,0.6,0.6,False,blowfish blowfish Animals & Nature
🦈,shark,shark,Animals & Nature,3.0,3.0,False,shark shark Animals & Nature
🐙,octopus,octopus,Animals & Nature,0.6,0.6,False,octopus octopus Animals & Nature
🐚,spiral shell,spiral_shell,Animals & Nature,0.6,0.6,False,spiral shell spiral_shell Animals & Nature
🪸,coral,coral,Animals & Nature,14.0,14.0,False,coral coral Animals & Nature
🪼,jellyfish,jellyfish,Animals & Nature,15.0,15.0,False,jellyfish jellyfish Animals & Nature
🦀,crab,crab,Animals & Nature,1.0,1.0,False,crab crab Animals & Nature
🦞,lobster,lobster,Animals & Nature,11.0,11.0,False,lobster lobster Animals & Nature
🦐,shrimp,shrimp,Animals & Nature,3.0,3.0,False,shrimp shrimp Animals & Nature
🦑,squid,squid,Animals & Nature,3.0,3.0,False,squid squid Animals & Nature
🦪,oyster,oyster,Animals & Nature,12.0,12.0,False,oyster oyster Animals & Nature
🐌,snail,snail,Animals & Nature,0.6,0.6,False,snail snail Animals & Nature
🦋,butterfly,butterfly,Animals & Nature,3.0,3.0,False,butterfly butterfly Animals & Nature
🐛,bug,bug,Animals & Nature,0.6,0.6,False,bug bug Animals & Nature
🐜,ant,ant,Animals & Nature,0.6,0.6,False,ant ant Animals & Nature
🐝,honeybee,honeybee,Animals & Nature,0.6,0.6,False,honeybee honeybee Animals & Nature
🪲,beetle,beetle,Animals & Nature,13.0,13.0,False,beetle beetle Animals & Nature
🐞,lady beetle,lady_beetle,Animals & Nature,0.6,0.6,False,lady beetle lady_beetle Animals & Nature
🦗,cricket,cricket,Animals & Nature,5.0,5.0,False,cricket cricket Animals & Nature
🪳,cockroach,cockroach,Animals & Nature,13.0,13.0,False,cockroach cockroach Animals & Nature
🕷️,spider,spider,Animals & Nature,0.7,0.7,False,spider spider Animals & Nature
🕸️,spider web,spider_web,Animals & Nature,0.7,0.7,False,spider web spider_web Animals & Nature
🦂,scorpion,scorpion,Animals & Nature,1.0,1.0,False,scorpion scorpion Animals & Nature
🦟,mosquito,mosquito,Animals & Nature,11.0,11.0,False,mosquito mosquito Animals & Nature
🪰,fly,fly,Animals & Nature,13.0,13.0,False,fly fly Animals & Nature
🪱,worm,worm,Animals & Nature,13.0,13.0,False,worm worm Animals & Nature
🦠,microbe,microbe,Animals & Nature,11.0,11.0,False,microbe microbe Animals & Nature
💐,bouquet,bouquet,Animals & Nature,0.6,0.6,False,bouquet bouquet Animals & Nature
